"product","product_category","avg_price","times_ordered","total_quantity_sold","total_revenue"
Macbook Pro Laptop,Apple,1700.0000000000000000,1792,1793,3048100.00
iPhone,Apple,700.0000000000000000,2316,2317,1621900.00
ThinkPad Laptop,Lenovo,999.9900000000000000,1548,1548,1547984.52
Google Phone,Google,600.0000000000000000,1858,1860,1116000.00
"27in 4K Gaming Monitor",Monitors,389.9900000000000000,2371,2375,926226.25
"34in Ultrawide Monitor",Monitors,379.9900000000000000,2330,2335,887276.65
Apple Airpods Headphones,Apple,150.0000000000000000,5786,5842,876300.00
Flatscreen TV,Home Appliances,300.0000000000000000,1837,1844,553200.00
Bose SoundSport Headphones,Bose,99.9900000000000000,5078,5129,512848.71
"27in FHD Monitor",Monitors,149.9900000000000000,2791,2810,421471.90
Vareebadd Phone,Vareebadd,400.0000000000000000,722,724,289600.00
"20in Monitor",Monitors,109.9900000000000000,1569,1579,173674.21
LG Washing Machine,LG,600.0000000000000000,268,268,160800.00
LG Dryer,LG,600.0000000000000000,240,240,144000.00
Lightning Charging Cable,Charging Cables,14.9500000000000000,7789,8337,124638.15
USB-C Charging Cable,Charging Cables,11.9500000000000000,7847,8579,102519.05
Wired Headphones,Headphones,11.9900000000000000,6756,7360,88246.40
AA Batteries (4-pack),Batteries,3.8400000000000000,7788,10517,40385.28
AAA Batteries (4-pack),Batteries,2.9900000000000000,7766,11689,34950.11
